customer_id,campaign_name,channel,budget,clicks,impressions
406,Summer Promo,social,100,68,5000
407,,email,100,634,5000
408,Summer Promo,social,5000,286,many
409,Black Friday,tv,-999,798,1000
410,Summer Promo,email,1000,728,5000
411,,radio,1000,895,10000
412,,tv,,394,5000
413,Summer Promo,email,-999,453,10000
414,,tv,5000,156,-1
415,,social,,-7,many
416,,,unknown,684,10000
417,,social,-999,889,10000
418,Black Friday,email,100,734,1000
419,,social,-999,597,many
420,,social,-999,493,10000
421,,,5000,958,
422,Summer Promo,print,unknown,212,10000
423,Spring Sale,social,-999,898,
424,Black Friday,,100,406,many
425,,social,5000,866,many
426,,social,100,973,
427,,email,,202,-1
428,Spring Sale,email,1000,349,many
429,Black Friday,print,-999,105,
430,,,,730,1000
431,Summer Promo,social,1000,379,
432,Black Friday,tv,100,577,5000
433,,social,-999,696,-1
434,,print,1000,909,10000
435,Summer Promo,social,unknown,544,5000
436,,social,100,225,-1
437,,radio,,371,
438,Black Friday,radio,5000,298,many
439,,social,100,782,5000
440,Black Friday,print,500,5,many
441,Black Friday,,,263,5000
442,,email,100,623,-1
443,Black Friday,tv,,13,
444,,radio,-999,392,5000
445,,tv,1000,9,1000
446,Black Friday,,500,691,5000
447,,email,500,142,
448,Spring Sale,social,100,183,10000
449,Black Friday,email,-999,670,
450,Summer Promo,email,,453,-1
451,,radio,unknown,630,many
452,Black Friday,,100,172,-1
453,Spring Sale,print,500,608,10000
454,,tv,-999,360,many
455,Spring Sale,,unknown,802,
456,,,-999,474,5000
457,Summer Promo,email,-999,468,1000
458,,print,unknown,867,1000
459,Spring Sale,,100,664,5000
460,,email,-999,802,10000
461,,tv,100,12,10000
462,,,unknown,300,1000
463,Summer Promo,email,,94,
464,,email,,649,1000
465,,social,unknown,867,-1
466,Spring Sale,social,-999,557,1000
467,Spring Sale,print,100,59,1000
468,,,,238,10000
469,,print,unknown,733,
470,Black Friday,radio,-999,781,10000
471,Black Friday,email,1000,743,-1
472,Spring Sale,social,unknown,813,
473,Black Friday,tv,-999,68,1000
474,Summer Promo,tv,,674,5000
475,Black Friday,social,500,971,
476,,email,100,940,-1
477,Spring Sale,email,500,409,many
478,,,1000,909,5000
479,,tv,,1,1000
480,,tv,5000,687,5000
481,Spring Sale,social,-999,939,-1
482,Black Friday,social,100,562,1000
483,Black Friday,radio,,778,10000
484,Summer Promo,,unknown,174,-1
485,Black Friday,,100,737,5000
486,Summer Promo,print,5000,797,10000
487,,,unknown,703,1000
488,Black Friday,radio,unknown,250,
489,Spring Sale,social,100,696,
490,Spring Sale,print,1000,371,
491,Summer Promo,print,500,714,1000
492,Black Friday,print,unknown,494,many
493,,print,500,595,1000
494,Summer Promo,tv,unknown,607,
495,Summer Promo,,,900,5000
496,Summer Promo,email,100,274,
497,,radio,unknown,224,10000
498,Summer Promo,,-999,474,10000
499,Spring Sale,tv,5000,953,many
500,,,1000,220,many
501,Spring Sale,print,500,930,-1
502,,social,,569,many
503,,radio,5000,694,1000
504,,radio,unknown,799,10000
505,Summer Promo,tv,unknown,417,-1
506,Spring Sale,,500,424,-1
507,Black Friday,,-999,96,-1
508,Spring Sale,social,,81,10000
509,,print,500,319,5000
510,Spring Sale,social,5000,768,10000
511,Spring Sale,tv,5000,842,5000
512,Summer Promo,,100,949,
513,Black Friday,radio,unknown,89,10000
514,Spring Sale,social,100,574,
515,,,5000,323,-1
516,Spring Sale,print,500,60,10000
517,Black Friday,tv,,737,10000
518,Summer Promo,,unknown,823,many
519,,radio,1000,664,many
520,Spring Sale,email,100,73,1000
521,,print,1000,274,5000
522,Black Friday,,5000,-3,-1
523,,email,5000,440,
524,,social,500,538,10000
525,,social,-999,651,10000
526,Spring Sale,radio,-999,-8,
527,,print,-999,834,5000
528,,radio,5000,51,10000
529,Black Friday,radio,unknown,371,many
530,,radio,500,259,1000
531,,print,-999,876,5000
532,Spring Sale,,-999,209,10000
533,Black Friday,email,unknown,731,1000
534,Spring Sale,print,-999,687,
535,,,500,357,
536,,email,1000,361,
537,Spring Sale,print,100,853,5000
538,,social,1000,618,-1
539,Black Friday,social,5000,794,10000
540,,email,unknown,530,
541,,,500,700,-1
542,Summer Promo,email,unknown,948,1000
543,Black Friday,email,100,485,1000
544,,tv,,810,1000
545,Summer Promo,radio,unknown,598,-1
546,,print,500,261,many
547,Spring Sale,tv,100,12,many
548,Summer Promo,print,,228,10000
549,,radio,1000,425,-1
550,,radio,-999,234,10000
551,Summer Promo,email,-999,814,many
552,Black Friday,email,500,562,-1
553,,radio,-999,72,5000
554,Black Friday,tv,,82,-1
555,Summer Promo,print,unknown,43,
556,Spring Sale,radio,1000,475,1000
557,,email,5000,793,
558,Black Friday,,,728,-1
559,Spring Sale,radio,500,551,10000
560,,email,,72,1000
561,Summer Promo,print,100,323,-1
562,Spring Sale,social,1000,21,5000
563,Black Friday,,500,585,
564,Black Friday,print,500,136,-1
565,Black Friday,print,unknown,175,10000
566,,,100,253,-1
567,Spring Sale,print,,447,10000
568,,print,-999,422,many
569,Black Friday,print,unknown,813,1000
570,Spring Sale,social,unknown,681,10000
571,Black Friday,,1000,743,-1
572,,,5000,145,
573,,email,100,436,5000
574,Spring Sale,email,100,124,5000
575,,radio,,500,many
576,Spring Sale,tv,,720,-1
577,,radio,-999,263,5000
578,Spring Sale,social,,73,5000
579,,print,5000,12,10000
580,Spring Sale,tv,500,957,10000
581,Summer Promo,tv,unknown,364,5000
582,,print,100,163,1000
583,Spring Sale,tv,5000,841,-1
584,,print,1000,812,
585,,email,-999,102,10000
586,Black Friday,,,619,10000
587,Spring Sale,radio,1000,171,10000
588,Summer Promo,print,500,451,1000
589,Spring Sale,tv,5000,456,5000
590,Black Friday,email,500,944,1000
591,,email,1000,569,
592,,tv,unknown,782,5000
593,Spring Sale,radio,-999,77,10000
594,,email,500,118,1000
595,Summer Promo,tv,unknown,186,-1
596,Spring Sale,email,100,383,many
597,,email,5000,27,
598,,,-999,508,-1
599,,radio,1000,114,many
600,Spring Sale,tv,unknown,707,5000
601,Summer Promo,email,1000,211,-1
602,,print,100,890,many
603,Summer Promo,tv,5000,562,-1
604,,email,-999,523,-1
605,Spring Sale,social,unknown,621,
606,Spring Sale,print,100,515,10000
607,,print,,336,-1
608,,email,1000,893,-1
609,,print,1000,167,-1
610,Summer Promo,print,,125,1000
611,Black Friday,tv,-999,490,1000
612,,radio,100,817,1000
613,Black Friday,email,1000,397,5000
614,,,500,660,1000
615,Summer Promo,print,500,467,-1
616,,print,5000,639,10000
617,Summer Promo,tv,unknown,146,5000
618,Black Friday,print,,256,1000
619,Black Friday,radio,100,548,10000
620,Summer Promo,tv,1000,194,-1
621,Black Friday,social,-999,658,
622,Black Friday,social,1000,658,5000
623,Summer Promo,social,100,964,1000
624,,radio,,31,many
625,,social,1000,307,
626,Summer Promo,tv,500,710,many
627,Summer Promo,,100,216,many
628,,social,500,626,10000
629,Black Friday,email,,575,10000
630,,,5000,54,10000
631,Summer Promo,tv,unknown,899,
632,Black Friday,tv,5000,959,many
633,,tv,-999,476,1000
634,Summer Promo,print,100,821,1000
635,Spring Sale,tv,500,283,many
636,Black Friday,email,-999,8,many
637,,print,,168,1000
638,Black Friday,tv,100,673,many
639,,,500,314,many
640,,social,1000,351,
641,Summer Promo,radio,500,330,many
642,Spring Sale,tv,5000,638,many
643,Spring Sale,social,100,45,10000
644,,email,500,691,-1
645,Summer Promo,tv,-999,119,5000
646,,tv,-999,405,many
647,Summer Promo,email,,145,many
648,Summer Promo,print,-999,783,1000
649,,radio,5000,343,many
650,Spring Sale,tv,unknown,822,1000
651,Black Friday,radio,unknown,384,-1
652,,,5000,970,5000
653,,,-999,949,1000
654,,radio,500,8,
655,Black Friday,radio,unknown,794,-1
656,Spring Sale,radio,,961,5000
657,Summer Promo,tv,-999,309,
658,Spring Sale,,100,908,10000
659,Summer Promo,social,500,252,many
660,Spring Sale,radio,1000,545,many
661,,email,1000,149,many
662,,email,1000,684,1000
663,,radio,,881,many
664,,,,951,10000
665,,social,100,641,-1
666,Black Friday,tv,,4,many
667,Black Friday,radio,100,807,-1
668,Summer Promo,social,-999,9,1000
669,Summer Promo,social,500,548,-1
670,Summer Promo,social,1000,907,1000
671,,tv,unknown,169,5000
672,,social,100,28,
673,Black Friday,email,100,221,1000
674,,print,5000,406,-1
675,Summer Promo,,unknown,111,-1
676,Spring Sale,,,502,10000
677,,social,5000,116,many
678,Black Friday,tv,5000,506,-1
679,,print,100,240,5000
680,Summer Promo,email,1000,27,10000
681,Spring Sale,,500,917,
682,Summer Promo,print,-999,801,10000
683,,email,5000,593,-1
684,Spring Sale,radio,-999,696,many
685,Black Friday,print,500,458,
686,,social,unknown,227,5000
687,Summer Promo,tv,100,762,1000
688,Summer Promo,radio,1000,917,1000
689,Summer Promo,radio,-999,50,many
690,Black Friday,tv,1000,705,
691,Summer Promo,print,,912,1000
692,Black Friday,email,100,967,-1
693,,social,5000,676,1000
694,,tv,,829,10000
695,,,500,865,
696,Summer Promo,radio,-999,627,many
697,,print,-999,184,1000
698,Summer Promo,,1000,885,
699,Summer Promo,tv,5000,565,many
700,,print,500,820,5000
701,,,-999,274,5000
702,,radio,100,542,1000
703,Summer Promo,social,-999,761,
704,Black Friday,email,100,499,-1
705,Summer Promo,radio,500,926,
706,Spring Sale,social,,513,5000
707,Spring Sale,social,unknown,567,-1
708,,print,-999,928,many
709,Spring Sale,,100,17,1000
710,Summer Promo,social,-999,395,many
711,,email,-999,529,-1
712,Spring Sale,print,,869,1000
713,Black Friday,,5000,527,
714,Spring Sale,radio,100,95,many
715,,social,unknown,85,10000
716,Black Friday,tv,unknown,209,5000
717,Summer Promo,print,1000,109,5000
718,Summer Promo,,unknown,958,5000
719,Summer Promo,,100,64,1000
720,Summer Promo,social,5000,716,1000
721,Black Friday,social,500,139,many
722,,print,unknown,759,1000
723,,email,,611,
724,Black Friday,email,-999,50,1000
725,,,100,-7,many
726,,radio,5000,49,5000
727,,tv,100,287,many
728,Summer Promo,tv,,5,1000
729,Summer Promo,tv,1000,419,5000
730,Spring Sale,,100,800,many
731,,social,unknown,433,1000
732,,email,,293,many
733,Spring Sale,social,5000,44,-1
734,Spring Sale,email,1000,945,many
735,Black Friday,email,100,518,10000
736,,,,506,1000
737,Spring Sale,radio,unknown,831,-1
738,Summer Promo,,500,148,10000
739,Summer Promo,print,unknown,504,
740,,email,500,652,many
741,,radio,-999,877,5000
742,Spring Sale,tv,-999,525,5000
743,Spring Sale,,unknown,82,many
744,Spring Sale,social,5000,416,many
745,Spring Sale,print,,994,-1
746,Spring Sale,email,1000,28,-1
747,Summer Promo,,,626,-1
748,,social,100,557,
749,Spring Sale,email,unknown,681,many
750,Spring Sale,email,1000,211,
751,Spring Sale,social,unknown,208,-1
752,Summer Promo,print,unknown,377,1000
753,Summer Promo,tv,100,411,1000
754,Spring Sale,radio,1000,620,-1
755,Spring Sale,print,unknown,590,many
756,Summer Promo,radio,-999,455,
757,Summer Promo,tv,,614,many
758,,email,1000,326,many
759,,social,500,677,5000
760,,tv,100,229,
761,Black Friday,,1000,9,-1
762,Black Friday,print,,305,-1
763,Summer Promo,social,5000,377,5000
764,Black Friday,,100,65,
765,,email,,35,-1
766,Spring Sale,email,unknown,334,1000
767,Black Friday,print,100,466,many
768,Summer Promo,print,500,463,-1
769,,,500,322,many
770,,print,-999,298,5000
771,Summer Promo,social,500,817,
772,,email,5000,601,many
773,Summer Promo,email,,233,-1
774,,,-999,591,10000
775,Spring Sale,print,5000,792,-1
776,Black Friday,email,100,617,many
777,Spring Sale,email,-999,729,10000
778,Black Friday,email,unknown,877,-1
779,,email,100,855,1000
780,Black Friday,tv,unknown,435,10000
781,Summer Promo,email,5000,961,
782,,email,,100,many
783,Spring Sale,radio,100,131,-1
784,Black Friday,,500,459,
785,Spring Sale,,100,-4,many
786,Black Friday,radio,100,958,1000
787,Summer Promo,email,-999,366,many
788,Black Friday,social,100,791,-1
789,,tv,5000,525,10000
790,,radio,100,421,1000
791,,tv,500,365,5000
792,Black Friday,,5000,427,1000
793,Black Friday,radio,500,889,-1
794,,radio,500,399,10000
795,,,unknown,991,
796,Summer Promo,email,unknown,553,
797,Summer Promo,social,5000,335,10000
798,,social,unknown,343,-1
799,Spring Sale,email,5000,588,5000
800,Black Friday,,100,4,many
801,Black Friday,social,,153,10000
802,Summer Promo,tv,unknown,863,5000
803,,email,100,198,5000
804,Summer Promo,email,,505,many
805,Spring Sale,radio,100,269,10000
806,Spring Sale,tv,500,659,5000
807,,tv,,976,5000
808,,email,100,74,10000
809,Spring Sale,,1000,455,many
810,,social,5000,194,5000
811,,tv,100,235,1000
812,Spring Sale,radio,5000,434,1000
813,Black Friday,social,1000,817,5000
814,Spring Sale,,,562,
815,,radio,,776,5000
816,,radio,unknown,311,many
817,Black Friday,radio,,376,-1
818,Black Friday,email,unknown,71,-1
819,Black Friday,tv,unknown,231,many
820,Black Friday,radio,-999,806,10000
821,Black Friday,email,,781,many
822,Summer Promo,email,unknown,820,
823,Spring Sale,email,1000,172,1000
824,Summer Promo,,5000,847,1000
825,,email,500,968,5000
826,,radio,,742,10000
827,Black Friday,email,unknown,360,-1
828,Summer Promo,tv,unknown,576,-1
829,Summer Promo,social,,966,
830,,tv,unknown,570,-1
831,,,1000,837,-1
832,,radio,-999,198,
833,Black Friday,social,1000,659,5000
834,Spring Sale,email,100,696,10000
835,Summer Promo,radio,5000,525,1000
836,,print,-999,379,1000
837,,print,5000,537,
838,,,unknown,942,10000
839,Black Friday,email,500,574,-1
840,,,100,427,10000
841,,social,unknown,137,5000
842,,tv,,544,5000
843,Spring Sale,print,,828,
844,Summer Promo,radio,,584,
845,,tv,5000,460,
846,Summer Promo,print,1000,747,many
847,,social,5000,200,5000
848,Black Friday,,500,144,-1
849,Summer Promo,email,unknown,416,5000
850,,tv,1000,612,many
851,Spring Sale,radio,-999,174,10000
852,Black Friday,social,500,134,5000
853,,print,,359,1000
854,Summer Promo,,500,274,5000
855,Black Friday,tv,unknown,412,
856,,print,100,810,10000
857,Black Friday,social,5000,811,-1
858,,print,500,527,-1
859,,email,100,240,5000
860,,radio,unknown,857,1000
861,,print,500,567,-1
862,,,1000,265,10000
863,Spring Sale,social,,413,5000
864,Black Friday,tv,5000,485,many
865,,social,-999,886,1000
866,Spring Sale,,,780,-1
867,,social,500,344,many
868,Black Friday,print,5000,482,5000
869,Summer Promo,email,500,266,many
870,,print,-999,884,-1
871,,print,5000,37,many
872,,tv,5000,747,10000
873,,print,,568,
874,Spring Sale,tv,1000,24,10000
875,,email,unknown,145,many
876,,print,-999,780,many
877,,tv,5000,881,
878,Black Friday,tv,unknown,546,1000
879,Summer Promo,print,,480,many
880,Black Friday,email,5000,220,10000
881,Black Friday,social,-999,319,10000
882,Spring Sale,radio,500,597,10000
883,,radio,unknown,513,-1
884,,,-999,216,many
885,Summer Promo,radio,100,656,1000
886,Summer Promo,tv,100,84,-1
887,,email,,893,1000
888,Black Friday,radio,500,416,many
889,Summer Promo,email,unknown,134,10000
890,Black Friday,social,,405,-1
891,Black Friday,print,unknown,80,many
892,Summer Promo,print,,254,-1
893,,email,5000,49,many
894,,,,533,5000
